OriginCityName,DestinationCityName,OriginCityName_Latitude,OriginCityName_Longitude,DestinationCityName_Latitude,DestinationCityName_Longitude,WeeklyPassengers,DailyPassengers,BusID,OriginDistrict,DestinationDistrict,Country
רכסים,רכסים,32.749264,35.099582,32.749264,35.099582,608.0,100.7,0,Northern,Northern,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,190.1,33.6,1,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,848.0,150.0,2,Unknown,Unknown,Israel
חיפה,נשר,32.83036,34.974339,32.764899,35.049192,474.4,90.1,3,Unknown,Northern,Israel
נשר,חיפה,32.764899,35.049192,32.83036,34.974339,366.5,62.2,4,Northern,Unknown,Israel
רכסים,רכסים,32.749264,35.099582,32.749264,35.099582,552.4,91.2,5,Northern,Northern,Israel
רכסים,רכסים,32.749264,35.099582,32.749264,35.099582,536.9,101.9,6,Northern,Northern,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,2926.4,524.7,7,Unknown,Unknown,Israel
קרית ביאליק,קרית מוצקין,32.832153,35.088408,32.838201,35.079525,14824.6,2667.0,8,Northern,Northern,Israel
קרית ים,קרית ביאליק,32.849275,35.06893,32.832153,35.088408,14092.7,2520.0,9,Northern,Northern,Israel
קרית ים,קרית ים,32.849275,35.06893,32.849275,35.06893,14276.2,2565.9,10,Northern,Northern,Israel
קרית ים,קרית מוצקין,32.849275,35.06893,32.838201,35.079525,8363.2,1480.3,11,Northern,Northern,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,26.2,0.1,12,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,663.9,0.4,13,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,7972.4,1471.9,14,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,6031.4,1111.1,15,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,10747.8,1982.7,16,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,11245.8,2114.5,17,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,9959.8,1696.6,18,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,14934.8,2575.4,19,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,9851.8,1746.9,20,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,13960.7,2553.8,21,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,11960.2,2152.8,22,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,97.0,19.4,23,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,76.9,0.0,24,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,188.0,0.0,25,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,10891.0,1983.4,26,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,10191.5,1862.1,27,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,4738.7,810.3,28,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,5075.8,835.6,29,Unknown,Unknown,Israel
חדרה,מבוא דותן,32.442784,34.92088,32.420771,35.173871,266.9,49.7,30,Haifa,Unknown,Israel
מבוא דותן,חדרה,32.420771,35.173871,32.442784,34.92088,298.5,54.8,31,Unknown,Haifa,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,14185.7,2480.3,32,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,21358.3,3831.8,33,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,489.8,0.0,34,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,5947.5,1088.2,35,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,6601.6,1185.1,36,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,5994.8,1066.7,37,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,3668.3,681.9,38,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,2823.3,522.6,39,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,227.4,41.0,40,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,86.1,15.7,41,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,1620.5,294.1,42,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,4153.3,751.7,43,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,99.6,19.9,44,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,3961.3,713.7,45,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,16.3,0.3,46,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,8.0,0.0,47,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,1680.1,299.1,48,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,3321.1,600.9,49,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,19688.4,3514.6,50,Unknown,Unknown,Israel
דאלית אל-כרמל,חיפה,32.693795,35.055448,32.83036,34.974339,19723.3,3558.9,51,Northern,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,4083.7,739.8,52,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,168.8,31.9,53,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,165.8,30.5,54,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,1694.6,315.2,55,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,8894.3,1500.7,56,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,7642.2,1300.0,57,Unknown,Unknown,Israel
חיפה,חיפה,32.83036,34.974339,32.83036,34.974339,2526.5,442.2,58,Unknown,Unknown,Israel
