BusID,RouteID,Q,year,RouteDirection,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),AverageTripDuration,OperatingCostPerPassenger
0,10003,1,2024,1,2,12,100.7,608,50.7,12.38,1.47
1,10006,1,2024,1,2,10,33.6,190.1,19,47.1,14.87
2,10006,1,2024,3,19,107,150,848,7.9,50.1,37.93
3,10007,1,2024,1,11,61,90.1,474.4,7.8,11.88,9.17
4,10007,1,2024,2,11,62,62.2,366.5,5.9,17.45,17.71
5,10008,1,2024,1,2,12,91.2,552.4,46,19.99,2.61
6,10008,1,2024,2,3,17,101.9,536.9,31.6,19.51,3.71
7,10010,1,2024,3,32,179,524.7,2926.4,16.3,53.5,19.63
8,10012,1,2024,1,76,433,2667,14824.6,34.2,56.76,9.95
9,10012,1,2024,2,75,428,2520,14092.7,32.9,50.8,9.26
10,10013,1,2024,1,67,387,2565.9,14276.2,36.9,75,12.2
11,10013,1,2024,2,67,386,1480.3,8363.2,21.7,56.93,15.77
12,10014,1,2024,1,0,3,0.1,26.2,8.7,44.44,30.53
13,10014,1,2024,3,0,17,0.4,663.9,39.1,93.57,14.38
14,10016,1,2024,1,46,252,1471.9,7972.4,31.6,66.96,12.7
15,10016,1,2024,2,48,266,1111.1,6031.4,22.7,53.17,14.07
16,10017,1,2024,1,55,309,1982.7,10747.8,34.8,64.36,11.1
17,10017,1,2024,2,66,360,2114.5,11245.8,31.2,53.78,10.33
18,10018,1,2024,1,71,420,1696.6,9959.8,23.7,46.33,11.72
19,10018,1,2024,2,74,439,2575.4,14934.8,34,56.69,10
20,10019,1,2024,1,74,417,1746.9,9851.8,23.6,33.55,8.52
21,10019,1,2024,2,72,400,2553.8,13960.7,34.9,43.84,7.54
22,10020,1,2024,3,60,340,2152.8,11960.2,35.2,58.83,10.03
23,10021,1,2024,2,2,10,19.4,97,9.7,30.36,18.78
24,10023,1,2024,1,0,9,0,76.9,8.5,32.32,22.7
25,10023,1,2024,2,0,9,0,188,20.9,41.1,11.81
26,10024,1,2024,1,49,276,1983.4,10891,39.5,79.36,12.07
27,10024,1,2024,2,53,296,1862.1,10191.5,34.4,65.55,11.42
28,10025,1,2024,1,64,385,810.3,4738.7,12.3,27.11,13.22
29,10025,1,2024,2,64,383,835.6,5075.8,13.3,31.09,14.08
30,10027,1,2024,1,6,34,49.7,266.9,7.8,59.65,45.59
31,10027,1,2024,2,6,34,54.8,298.5,8.8,56.48,38.6
32,10028,1,2024,1,56,321,2480.3,14185.7,44.2,59.54,8.08
33,10028,1,2024,2,64,364,3831.8,21358.3,58.7,73.18,7.48
34,10028,1,2024,3,0,9,0,489.8,54.4,83.12,9.16
35,10029,1,2024,3,43,240,1088.2,5947.5,24.8,65.53,15.87
36,10030,1,2024,1,48,265,1185.1,6601.6,24.9,45.42,10.94
37,10030,1,2024,2,48,265,1066.7,5994.8,22.6,39.28,10.42
38,10031,1,2024,1,20,111,681.9,3668.3,33,65.48,11.89
39,10031,1,2024,2,22,121,522.6,2823.3,23.3,51.73,13.3
40,10032,1,2024,1,2,11,41,227.4,20.7,44.26,12.85
41,10032,1,2024,2,1,6,15.7,86.1,14.4,30.87,12.91
42,10032,1,2024,3,29,161,294.1,1620.5,10.1,40.19,23.96
43,10033,1,2024,3,53,300,751.7,4153.3,13.8,28.71,12.44
44,10034,1,2024,1,1,4,19.9,99.6,24.9,44.4,10.7
45,10034,1,2024,3,50,282,713.7,3961.3,14,27.99,11.96
46,10035,1,2024,1,0,2,0.3,16.3,8.2,29.58,21.78
47,10035,1,2024,2,0,1,0,8,8,23.29,17.47
48,10036,1,2024,1,13,74,299.1,1680.1,22.7,55.19,14.59
49,10036,1,2024,2,20,113,600.9,3321.1,29.4,71.21,14.54
50,10037,1,2024,1,86,491,3514.6,19688.4,40.1,46.15,6.91
51,10037,1,2024,2,74,423,3558.9,19723.3,46.6,103.03,13.26
52,10038,1,2024,3,50,280,739.8,4083.7,14.6,31.28,12.87
53,10039,1,2024,1,2,11,31.9,168.8,15.3,34.52,13.5
54,10039,1,2024,2,2,12,30.5,165.8,13.8,30.98,13.45
55,10039,1,2024,3,37,205,315.2,1694.6,8.3,32.94,23.91
56,10040,1,2024,1,47,295,1500.7,8894.3,30.2,54.24,10.79
57,10040,1,2024,2,46,288,1300,7642.2,26.5,52.94,11.97
58,10042,1,2024,1,14,80,442.2,2526.5,31.6,58.96,11.2
59,10042,1,2024,2,14,80,353.5,1956.8,24.5,46.18,11.33
60,10043,1,2024,1,20,112,258.8,1457,13,34.43,15.88
61,10043,1,2024,2,21,118,347.9,1930,16.4,50.93,18.68
62,10045,1,2024,1,23,137,281.9,1572.5,11.5,14.66,7.66
63,10045,1,2024,2,31,183,311.2,1833.7,10,15.71,9.41
64,10046,1,2024,1,38,208,610.3,3207.2,15.4,15.98,6.22
65,10046,1,2024,2,39,213,537.4,2871.8,13.5,15.24,6.78
66,10047,1,2024,1,45,250,736.7,3946.8,15.8,24.72,9.39
67,10047,1,2024,2,49,271,584.8,3097.7,11.4,22.87,12
68,10048,1,2024,1,12,66,38.9,206.7,3.1,68.67,131.56
69,10048,1,2024,2,12,68,30.6,168.4,2.5,66.24,160.49
70,10049,1,2024,1,52,291,1280.5,6939.2,23.8,31.07,7.82
71,10049,1,2024,2,52,294,1106.5,6010.4,20.4,29.58,8.68
72,10060,1,2024,1,1,6,2.5,17.1,2.8,18.24,38.4
73,10066,1,2024,1,8,44,15.9,84.4,1.9,8.59,26.87
74,10066,1,2024,2,8,44,15.4,88.1,2,8.91,26.7
75,10070,1,2024,1,5,30,66.5,390,13,27.81,12.84
76,10070,1,2024,2,7,42,121.4,686.7,16.4,30.46,11.18
77,10070,1,2024,3,27,144,806.3,4230.9,29.4,60.91,12.44
78,10071,1,2024,1,29,159,243.4,1309.4,8.2,22.4,16.32
79,10071,1,2024,2,32,176,361.3,1939.1,11,27.66,15.06
80,10072,1,2024,1,40,226,1080.7,5857.8,25.9,36.08,8.35
81,10072,1,2024,2,41,229,1264.8,6923.9,30.2,44,8.73
82,10076,1,2024,1,44,243,1448.2,7891.9,32.5,49.98,9.23
83,10076,1,2024,2,43,239,1703.2,9171.4,38.4,53.48,8.36
84,10077,1,2024,1,29,157,456.3,2431,15.5,50.38,19.52
85,10077,1,2024,2,28,153,604.6,3250.2,21.2,58.13,16.42
86,10078,1,2024,1,31,169,522.1,2804.9,16.6,32.79,11.85
87,10078,1,2024,2,35,190,686.3,3637,19.1,35.59,11.16
88,10079,1,2024,1,7,57,74.6,558.6,9.8,39.61,24.25
89,10079,1,2024,2,4,36,32.9,375.7,10.4,49.47,28.44
90,10080,1,2024,1,3,15,51.3,290.6,19.4,50.81,15.74
91,10080,1,2024,2,2,12,46.2,271.6,22.6,33.59,8.9
92,10081,1,2024,1,1,8,19.6,107.7,13.5,6.04,2.69
93,10081,1,2024,2,2,10,35.3,176.5,17.7,18.84,6.4
94,10082,1,2024,1,1,6,34.3,171.5,28.6,26.67,5.6
95,10082,1,2024,2,2,12,88.1,493.1,41.1,28.71,4.19
96,10083,1,2024,2,2,12,93.1,554.9,46.2,13.2,1.71
97,10084,1,2024,2,8,49,138,763.9,15.6,30.21,11.63
98,10085,1,2024,1,2,11,8.8,54.5,5,8.25,9.99
99,10085,1,2024,2,6,33,119,665.8,20.2,26.67,7.93
100,10089,1,2024,1,1,6,24.8,159.7,26.6,24.69,5.57
101,10089,1,2024,2,1,6,5.9,34.8,5.8,19.52,20.19
102,10091,1,2024,1,1,5,16.8,84,16.8,35.71,12.75
103,10091,1,2024,2,1,6,14.6,88.6,14.8,30.93,12.57
104,10092,1,2024,1,1,6,29.3,147.9,24.7,23.48,5.72
105,10092,1,2024,2,1,7,12.9,83.4,11.9,11.96,6.02
106,10093,1,2024,1,1,6,25.3,176.1,29.4,21.69,4.43
107,10093,1,2024,2,1,6,31,184.9,30.8,16.99,3.31
108,10096,1,2024,1,4,22,63.1,372.3,16.9,31.58,11.2
109,10096,1,2024,2,4,23,133.2,725.1,31.5,31.84,6.06
110,10097,1,2024,1,4,22,56,294.8,13.4,41.81,18.72
111,10098,1,2024,1,1,6,21,125.7,21,32.55,9.32
112,10098,1,2024,2,1,6,25,142.8,23.8,39.02,9.84
113,10099,1,2024,1,1,6,9.3,54.8,9.1,27.03,17.76
114,10102,1,2024,1,0,2,0.2,10.6,5.3,44.8,50.72
115,10102,1,2024,2,0,15,4.6,82.8,5.5,44.71,48.6
116,10104,1,2024,1,0,14,3,80.8,5.8,68.62,71.34
117,10104,1,2024,2,0,2,0.2,3.7,1.8,43.75,141.89
118,10105,1,2024,1,0,14,4.8,88.3,6.3,56.58,53.82
119,10105,1,2024,2,0,2,1.5,15.9,8,61.73,46.59
120,10106,1,2024,1,0,13,8.1,178.9,13.8,55.64,24.26
121,10106,1,2024,2,0,2,1,17.1,8.6,55.26,38.78
122,10107,1,2024,1,0,2,0.1,3.4,1.7,51.03,180.11
123,10107,1,2024,2,0,13,3.5,67.1,5.2,53.05,61.67
124,10109,1,2024,1,2,13,27.8,189.7,14.6,49.25,20.25
125,10109,1,2024,2,3,16,47.2,282.3,17.6,50.02,17.01
126,10110,1,2024,1,18,100,139.9,752.3,7.5,41.99,33.49
127,10110,1,2024,2,20,112,151.8,785.2,7,44.71,38.26
128,10112,1,2024,1,1,6,12.9,64.5,10.8,38.8,21.66
129,10115,1,2024,1,103,583,4385,24784.1,42.5,54.77,7.73
